SizeKB,Type,BandwidthGBps
64,float_sync,14.9012
128,float_sync,29.8023
256,float_sync,79.4729
512,float_sync,119.209
1024,float_sync,232.959
2048,float_sync,381.47
4096,float_sync,762.939
8192,float_sync,635.783
16384,float_sync,762.939
32768,float_sync,824.799
65536,float_sync,851.035
64,float4_sync,14.9012
128,float4_sync,39.7364
256,float4_sync,59.6046
512,float4_sync,158.946
1024,float4_sync,248.11
2048,float4_sync,476.837
4096,float4_sync,762.939
8192,float4_sync,693.581
16384,float4_sync,717.006
32768,float4_sync,803.094
65536,float4_sync,850.664
