SizeKB,Type,BandwidthGBps
64,float_sync,11.9209
128,float_sync,39.7364
256,float_sync,79.4729
512,float_sync,119.209
1024,float_sync,238.419
2048,float_sync,381.47
4096,float_sync,635.783
8192,float_sync,516.154
16384,float_sync,693.581
32768,float_sync,767.135
65536,float_sync,803.094
64,float4_sync,14.9012
128,float4_sync,31.0138
256,float4_sync,79.4729
512,float4_sync,158.946
1024,float4_sync,238.419
2048,float4_sync,388.759
4096,float4_sync,748.898
8192,float4_sync,586.877
16384,float4_sync,733.155
32768,float4_sync,824.799
65536,float4_sync,848.079
