SizeKB,Type,BandwidthGBps,Direction
64,float4_sync,14.9012,Global->Shared
128,float4_sync,31.0138,Global->Shared
256,float4_sync,79.4729,Global->Shared
512,float4_sync,158.946,Global->Shared
1024,float4_sync,238.419,Global->Shared
2048,float4_sync,388.759,Global->Shared
4096,float4_sync,748.898,Global->Shared
8192,float4_sync,586.877,Global->Shared
16384,float4_sync,733.155,Global->Shared
32768,float4_sync,824.799,Global->Shared
65536,float4_sync,848.079,Global->Shared
64,float_sync,11.9209,Global->Shared
128,float_sync,39.7364,Global->Shared
256,float_sync,79.4729,Global->Shared
512,float_sync,119.209,Global->Shared
1024,float_sync,238.419,Global->Shared
2048,float_sync,381.47,Global->Shared
4096,float_sync,635.783,Global->Shared
8192,float_sync,516.154,Global->Shared
16384,float_sync,693.581,Global->Shared
32768,float_sync,767.135,Global->Shared
65536,float_sync,803.094,Global->Shared
64,float4_sync,14.9012,Shared->Global
128,float4_sync,39.7364,Shared->Global
256,float4_sync,59.6046,Shared->Global
512,float4_sync,158.946,Shared->Global
1024,float4_sync,248.11,Shared->Global
2048,float4_sync,476.837,Shared->Global
4096,float4_sync,762.939,Shared->Global
8192,float4_sync,693.581,Shared->Global
16384,float4_sync,717.006,Shared->Global
32768,float4_sync,803.094,Shared->Global
65536,float4_sync,850.664,Shared->Global
64,float_sync,14.9012,Shared->Global
128,float_sync,29.8023,Shared->Global
256,float_sync,79.4729,Shared->Global
512,float_sync,119.209,Shared->Global
1024,float_sync,232.959,Shared->Global
2048,float_sync,381.47,Shared->Global
4096,float_sync,762.939,Shared->Global
8192,float_sync,635.783,Shared->Global
16384,float_sync,762.939,Shared->Global
32768,float_sync,824.799,Shared->Global
65536,float_sync,851.035,Shared->Global
