SizeKB,Type,BandwidthGBps,Direction
64,float4_sync,21.1928,Global->Shared
128,float4_sync,39.7364,Global->Shared
256,float4_sync,82.9282,Global->Shared
512,float4_sync,158.946,Global->Shared
1024,float4_sync,260.834,Global->Shared
2048,float4_sync,508.626,Global->Shared
4096,float4_sync,953.674,Global->Shared
8192,float4_sync,1907.35,Global->Shared
16384,float4_sync,2303.21,Global->Shared
32768,float4_sync,3061.32,Global->Shared
65536,float4_sync,3630.34,Global->Shared
64,float_sync,19.8682,Global->Shared
128,float_sync,30.5176,Global->Shared
256,float_sync,104.512,Global->Shared
512,float_sync,158.946,Global->Shared
1024,float_sync,252.211,Global->Shared
2048,float_sync,469.501,Global->Shared
4096,float_sync,762.939,Global->Shared
8192,float_sync,1146.2,Global->Shared
16384,float_sync,1436.12,Global->Shared
32768,float_sync,1616.83,Global->Shared
65536,float_sync,1796.8,Global->Shared
64,float4_sync,29.8023,Shared->Global
128,float4_sync,39.7364,Shared->Global
256,float4_sync,112.197,Shared->Global
512,float4_sync,175.388,Shared->Global
1024,float4_sync,317.891,Shared->Global
2048,float4_sync,635.783,Shared->Global
4096,float4_sync,897.576,Shared->Global
8192,float4_sync,1271.57,Shared->Global
16384,float4_sync,1695.42,Shared->Global
32768,float4_sync,1907.35,Shared->Global
65536,float4_sync,942.173,Shared->Global
64,float_sync,19.2661,Shared->Global
128,float_sync,41.0182,Shared->Global
256,float_sync,80.3094,Shared->Global
512,float_sync,158.946,Shared->Global
1024,float_sync,342.894,Shared->Global
2048,float_sync,476.837,Shared->Global
4096,float_sync,762.939,Shared->Global
8192,float_sync,1089.91,Shared->Global
16384,float_sync,1475.17,Shared->Global
32768,float_sync,1666.49,Shared->Global
65536,float_sync,952.744,Shared->Global
