SizeKB,Type,BandwidthGBps
64,float_sync,19.2661
128,float_sync,41.0182
256,float_sync,80.3094
512,float_sync,158.946
1024,float_sync,342.894
2048,float_sync,476.837
4096,float_sync,762.939
8192,float_sync,1089.91
16384,float_sync,1475.17
32768,float_sync,1666.49
65536,float_sync,952.744
64,float4_sync,29.8023
128,float4_sync,39.7364
256,float4_sync,112.197
512,float4_sync,175.388
1024,float4_sync,317.891
2048,float4_sync,635.783
4096,float4_sync,897.576
8192,float4_sync,1271.57
16384,float4_sync,1695.42
32768,float4_sync,1907.35
65536,float4_sync,942.173
