SizeKB,Type,BandwidthGBps
64,float_sync,19.8682
128,float_sync,30.5176
256,float_sync,104.512
512,float_sync,158.946
1024,float_sync,252.211
2048,float_sync,469.501
4096,float_sync,762.939
8192,float_sync,1146.2
16384,float_sync,1436.12
32768,float_sync,1616.83
65536,float_sync,1796.8
64,float4_sync,21.1928
128,float4_sync,39.7364
256,float4_sync,82.9282
512,float4_sync,158.946
1024,float4_sync,260.834
2048,float4_sync,508.626
4096,float4_sync,953.674
8192,float4_sync,1907.35
16384,float4_sync,2303.21
32768,float4_sync,3061.32
65536,float4_sync,3630.34
